Statistic Label,Year,Type of Building and Construction,UNIT,VALUE
Value of Production Index in Building and Construction (Seasonally Adjusted),2003,Non-residential building,Base 2015=100,106.6157927
Value of Production Index in Building and Construction (Seasonally Adjusted),2003,Civil engineering,Base 2015=100,98.5734212
Value of Production Index in Building and Construction (Seasonally Adjusted),2004,All building and construction,Base 2015=100,252.8467981
Value of Production Index in Building and Construction (Seasonally Adjusted),2004,Building (excluding civil engineering),Base 2015=100,319.4076988
Value of Production Index in Building and Construction (Seasonally Adjusted),2004,Residential building,Base 2015=100,605.5049518
Value of Production Index in Building and Construction (Seasonally Adjusted),2004,Non-residential building,Base 2015=100,115.3594812
Value of Production Index in Building and Construction (Seasonally Adjusted),2004,Civil engineering,Base 2015=100,106.9760385
Value of Production Index in Building and Construction (Seasonally Adjusted),2005,All building and construction,Base 2015=100,290.3272078
Value of Production Index in Building and Construction (Seasonally Adjusted),2005,Building (excluding civil engineering),Base 2015=100,365.3271639
Value of Production Index in Building and Construction (Seasonally Adjusted),2005,Residential building,Base 2015=100,696.5485942
Value of Production Index in Building and Construction (Seasonally Adjusted),2005,Non-residential building,Base 2015=100,129.4047074
Value of Production Index in Building and Construction (Seasonally Adjusted),2005,Civil engineering,Base 2015=100,125.2440618
Value of Production Index in Building and Construction (Seasonally Adjusted),2006,All building and construction,Base 2015=100,318.9665836
Value of Production Index in Building and Construction (Seasonally Adjusted),2006,Building (excluding civil engineering),Base 2015=100,395.9114407
Value of Production Index in Building and Construction (Seasonally Adjusted),2006,Residential building,Base 2015=100,748.0767424
Value of Production Index in Building and Construction (Seasonally Adjusted),2006,Non-residential building,Base 2015=100,144.8135207
Value of Production Index in Building and Construction (Seasonally Adjusted),2006,Civil engineering,Base 2015=100,149.2897004
Value of Production Index in Building and Construction (Seasonally Adjusted),2007,All building and construction,Base 2015=100,289.5344547
Value of Production Index in Building and Construction (Seasonally Adjusted),2007,Building (excluding civil engineering),Base 2015=100,346.9005234
Value of Production Index in Building and Construction (Seasonally Adjusted),2007,Residential building,Base 2015=100,619.179242
Value of Production Index in Building and Construction (Seasonally Adjusted),2007,Non-residential building,Base 2015=100,153.5761568
Value of Production Index in Building and Construction (Seasonally Adjusted),2007,Civil engineering,Base 2015=100,163.704964
Value of Production Index in Building and Construction (Seasonally Adjusted),2008,All building and construction,Base 2015=100,212.8235966
Value of Production Index in Building and Construction (Seasonally Adjusted),2008,Building (excluding civil engineering),Base 2015=100,237.8353009
Value of Production Index in Building and Construction (Seasonally Adjusted),2008,Residential building,Base 2015=100,354.7909422
Value of Production Index in Building and Construction (Seasonally Adjusted),2008,Non-residential building,Base 2015=100,154.7172473
Value of Production Index in Building and Construction (Seasonally Adjusted),2008,Civil engineering,Base 2015=100,158.9852769
Value of Production Index in Building and Construction (Seasonally Adjusted),2009,All building and construction,Base 2015=100,132.6206414
Value of Production Index in Building and Construction (Seasonally Adjusted),2009,Building (excluding civil engineering),Base 2015=100,131.186339
Value of Production Index in Building and Construction (Seasonally Adjusted),2009,Residential building,Base 2015=100,146.8886493
Value of Production Index in Building and Construction (Seasonally Adjusted),2009,Non-residential building,Base 2015=100,118.8456672
Value of Production Index in Building and Construction (Seasonally Adjusted),2009,Civil engineering,Base 2015=100,136.690921
Value of Production Index in Building and Construction (Seasonally Adjusted),2010,All building and construction,Base 2015=100,93.90519314
Value of Production Index in Building and Construction (Seasonally Adjusted),2010,Building (excluding civil engineering),Base 2015=100,88.23225768
Value of Production Index in Building and Construction (Seasonally Adjusted),2010,Residential building,Base 2015=100,92.31361985
Value of Production Index in Building and Construction (Seasonally Adjusted),2010,Non-residential building,Base 2015=100,84.86708278
Value of Production Index in Building and Construction (Seasonally Adjusted),2010,Civil engineering,Base 2015=100,107.3958875
Value of Production Index in Building and Construction (Seasonally Adjusted),2011,All building and construction,Base 2015=100,76.01466982
Value of Production Index in Building and Construction (Seasonally Adjusted),2011,Building (excluding civil engineering),Base 2015=100,74.47111417
Value of Production Index in Building and Construction (Seasonally Adjusted),2011,Residential building,Base 2015=100,65.70353145
Value of Production Index in Building and Construction (Seasonally Adjusted),2011,Non-residential building,Base 2015=100,81.40797348
Value of Production Index in Building and Construction (Seasonally Adjusted),2011,Civil engineering,Base 2015=100,79.70901479
Value of Production Index in Building and Construction (Seasonally Adjusted),2012,All building and construction,Base 2015=100,74.87889388
Value of Production Index in Building and Construction (Seasonally Adjusted),2012,Building (excluding civil engineering),Base 2015=100,66.74947788
Value of Production Index in Building and Construction (Seasonally Adjusted),2012,Residential building,Base 2015=100,58.12437922
Value of Production Index in Building and Construction (Seasonally Adjusted),2012,Non-residential building,Base 2015=100,73.45463906
Value of Production Index in Building and Construction (Seasonally Adjusted),2012,Civil engineering,Base 2015=100,93.70426431
Value of Production Index in Building and Construction (Seasonally Adjusted),2013,All building and construction,Base 2015=100,83.83033861
Value of Production Index in Building and Construction (Seasonally Adjusted),2013,Building (excluding civil engineering),Base 2015=100,77.09099482
Value of Production Index in Building and Construction (Seasonally Adjusted),2013,Residential building,Base 2015=100,64.75327288
Value of Production Index in Building and Construction (Seasonally Adjusted),2013,Non-residential building,Base 2015=100,87.81511029
Value of Production Index in Building and Construction (Seasonally Adjusted),2013,Civil engineering,Base 2015=100,99.24241463
Value of Production Index in Building and Construction (Seasonally Adjusted),2014,All building and construction,Base 2015=100,91.88496093
Value of Production Index in Building and Construction (Seasonally Adjusted),2014,Building (excluding civil engineering),Base 2015=100,86.77873997
Value of Production Index in Building and Construction (Seasonally Adjusted),2014,Residential building,Base 2015=100,76.53920448
Value of Production Index in Building and Construction (Seasonally Adjusted),2014,Non-residential building,Base 2015=100,94.90202126
Value of Production Index in Building and Construction (Seasonally Adjusted),2014,Civil engineering,Base 2015=100,103.4771688
Value of Production Index in Building and Construction (Seasonally Adjusted),2015,All building and construction,Base 2015=100,100.2166734
Value of Production Index in Building and Construction (Seasonally Adjusted),2015,Building (excluding civil engineering),Base 2015=100,100.0915304
Value of Production Index in Building and Construction (Seasonally Adjusted),2015,Residential building,Base 2015=100,100.1635747
Value of Production Index in Building and Construction (Seasonally Adjusted),2015,Non-residential building,Base 2015=100,99.89020561
Value of Production Index in Building and Construction (Seasonally Adjusted),2015,Civil engineering,Base 2015=100,100.4987619
Value of Production Index in Building and Construction (Seasonally Adjusted),2016,All building and construction,Base 2015=100,109.9742466
Value of Production Index in Building and Construction (Seasonally Adjusted),2016,Building (excluding civil engineering),Base 2015=100,111.4375563
Value of Production Index in Building and Construction (Seasonally Adjusted),2016,Residential building,Base 2015=100,124.0443322
Value of Production Index in Building and Construction (Seasonally Adjusted),2016,Non-residential building,Base 2015=100,109.7119798
Value of Production Index in Building and Construction (Seasonally Adjusted),2016,Civil engineering,Base 2015=100,103.2875975
Value of Production Index in Building and Construction (Seasonally Adjusted),2017,All building and construction,Base 2015=100,126.3133807
Value of Production Index in Building and Construction (Seasonally Adjusted),2017,Building (excluding civil engineering),Base 2015=100,130.0989508
Value of Production Index in Building and Construction (Seasonally Adjusted),2017,Residential building,Base 2015=100,146.0423106
Value of Production Index in Building and Construction (Seasonally Adjusted),2017,Non-residential building,Base 2015=100,127.4598866
Value of Production Index in Building and Construction (Seasonally Adjusted),2017,Civil engineering,Base 2015=100,108.4159055
Value of Production Index in Building and Construction (Seasonally Adjusted),2018,All building and construction,Base 2015=100,144.769944
Value of Production Index in Building and Construction (Seasonally Adjusted),2018,Building (excluding civil engineering),Base 2015=100,148.9182248
Value of Production Index in Building and Construction (Seasonally Adjusted),2018,Residential building,Base 2015=100,150.4761412
Value of Production Index in Building and Construction (Seasonally Adjusted),2018,Non-residential building,Base 2015=100,148.9902539
Value of Production Index in Building and Construction (Seasonally Adjusted),2018,Civil engineering,Base 2015=100,125.1996117
Value of Production Index in Building and Construction (Seasonally Adjusted),2019,All building and construction,Base 2015=100,156.2624827
Value of Production Index in Building and Construction (Seasonally Adjusted),2019,Building (excluding civil engineering),Base 2015=100,163.6802756
Value of Production Index in Building and Construction (Seasonally Adjusted),2019,Residential building,Base 2015=100,173.3091838
Value of Production Index in Building and Construction (Seasonally Adjusted),2019,Non-residential building,Base 2015=100,162.4274777
Value of Production Index in Building and Construction (Seasonally Adjusted),2019,Civil engineering,Base 2015=100,122.3399384
Value of Production Index in Building and Construction (Seasonally Adjusted),2020,All building and construction,Base 2015=100,143.9592997
Value of Production Index in Building and Construction (Seasonally Adjusted),2020,Building (excluding civil engineering),Base 2015=100,152.8770511
Value of Production Index in Building and Construction (Seasonally Adjusted),2020,Residential building,Base 2015=100,137.7398715
Value of Production Index in Building and Construction (Seasonally Adjusted),2020,Non-residential building,Base 2015=100,154.5766903
Value of Production Index in Building and Construction (Seasonally Adjusted),2020,Civil engineering,Base 2015=100,105.1576066
Value of Production Index in Building and Construction (Seasonally Adjusted),2021,All building and construction,Base 2015=100,146.1191789
Value of Production Index in Building and Construction (Seasonally Adjusted),2021,Building (excluding civil engineering),Base 2015=100,150.8477415
Value of Production Index in Building and Construction (Seasonally Adjusted),2021,Residential building,Base 2015=100,127.3632322
Value of Production Index in Building and Construction (Seasonally Adjusted),2021,Non-residential building,Base 2015=100,155.7923941
Value of Production Index in Building and Construction (Seasonally Adjusted),2021,Civil engineering,Base 2015=100,124.2344561
Value of Production Index in Building and Construction (Seasonally Adjusted),2022,All building and construction,Base 2015=100,166.1851603
Value of Production Index in Building and Construction (Seasonally Adjusted),2022,Building (excluding civil engineering),Base 2015=100,173.0556375
Value of Production Index in Building and Construction (Seasonally Adjusted),2022,Residential building,Base 2015=100,147.3633665
Value of Production Index in Building and Construction (Seasonally Adjusted),2022,Non-residential building,Base 2015=100,176.8340064
Value of Production Index in Building and Construction (Seasonally Adjusted),2022,Civil engineering,Base 2015=100,134.7847555
Volume of Production Index in Building and Construction (Seasonally Adjusted),2000,All building and construction,Base 2015=100,218.5259762
Volume of Production Index in Building and Construction (Seasonally Adjusted),2000,Building (excluding civil engineering),Base 2015=100,281.2322488
Volume of Production Index in Building and Construction (Seasonally Adjusted),2000,Residential building,Base 2015=100,472.0094441
Volume of Production Index in Building and Construction (Seasonally Adjusted),2000,Non-residential building,Base 2015=100,148.3623423
Volume of Production Index in Building and Construction (Seasonally Adjusted),2000,Civil engineering,Base 2015=100,87.01784897
Volume of Production Index in Building and Construction (Seasonally Adjusted),2001,All building and construction,Base 2015=100,226.0374828
Volume of Production Index in Building and Construction (Seasonally Adjusted),2001,Building (excluding civil engineering),Base 2015=100,286.0737836
Volume of Production Index in Building and Construction (Seasonally Adjusted),2001,Residential building,Base 2015=100,491.1040125
Volume of Production Index in Building and Construction (Seasonally Adjusted),2001,Non-residential building,Base 2015=100,142.1776566
Volume of Production Index in Building and Construction (Seasonally Adjusted),2001,Civil engineering,Base 2015=100,97.58781712
Volume of Production Index in Building and Construction (Seasonally Adjusted),2002,All building and construction,Base 2015=100,230.8217614
Volume of Production Index in Building and Construction (Seasonally Adjusted),2002,Building (excluding civil engineering),Base 2015=100,283.8897912
Volume of Production Index in Building and Construction (Seasonally Adjusted),2002,Residential building,Base 2015=100,499.3956156
Volume of Production Index in Building and Construction (Seasonally Adjusted),2002,Non-residential building,Base 2015=100,131.5726371
Volume of Production Index in Building and Construction (Seasonally Adjusted),2002,Civil engineering,Base 2015=100,112.4735933
Volume of Production Index in Building and Construction (Seasonally Adjusted),2003,All building and construction,Base 2015=100,243.8581567
Volume of Production Index in Building and Construction (Seasonally Adjusted),2003,Building (excluding civil engineering),Base 2015=100,303.0145153
Volume of Production Index in Building and Construction (Seasonally Adjusted),2003,Residential building,Base 2015=100,555.0326569
Volume of Production Index in Building and Construction (Seasonally Adjusted),2003,Non-residential building,Base 2015=100,123.181862
Volume of Production Index in Building and Construction (Seasonally Adjusted),2003,Civil engineering,Base 2015=100,113.9721167
Volume of Production Index in Building and Construction (Seasonally Adjusted),2004,All building and construction,Base 2015=100,305.7715785
Volume of Production Index in Building and Construction (Seasonally Adjusted),2004,Building (excluding civil engineering),Base 2015=100,386.2372073
Volume of Production Index in Building and Construction (Seasonally Adjusted),2004,Residential building,Base 2015=100,732.5187923
Volume of Production Index in Building and Construction (Seasonally Adjusted),2004,Non-residential building,Base 2015=100,139.3825489
Volume of Production Index in Building and Construction (Seasonally Adjusted),2004,Civil engineering,Base 2015=100,129.2861788
Volume of Production Index in Building and Construction (Seasonally Adjusted),2005,All building and construction,Base 2015=100,334.9542037
Volume of Production Index in Building and Construction (Seasonally Adjusted),2005,Building (excluding civil engineering),Base 2015=100,421.6203052
Volume of Production Index in Building and Construction (Seasonally Adjusted),2005,Residential building,Base 2015=100,803.8541879
Volume of Production Index in Building and Construction (Seasonally Adjusted),2005,Non-residential building,Base 2015=100,149.2928494
Volume of Production Index in Building and Construction (Seasonally Adjusted),2005,Civil engineering,Base 2015=100,144.5098584
Volume of Production Index in Building and Construction (Seasonally Adjusted),2006,All building and construction,Base 2015=100,347.8546033
Volume of Production Index in Building and Construction (Seasonally Adjusted),2006,Building (excluding civil engineering),Base 2015=100,431.9679153
Volume of Production Index in Building and Construction (Seasonally Adjusted),2006,Residential building,Base 2015=100,817.1452032
Volume of Production Index in Building and Construction (Seasonally Adjusted),2006,Non-residential building,Base 2015=100,158.080234
Volume of Production Index in Building and Construction (Seasonally Adjusted),2006,Civil engineering,Base 2015=100,162.9463903
Volume of Production Index in Building and Construction (Seasonally Adjusted),2007,All building and construction,Base 2015=100,301.4296171
Volume of Production Index in Building and Construction (Seasonally Adjusted),2007,Building (excluding civil engineering),Base 2015=100,361.2930764
Volume of Production Index in Building and Construction (Seasonally Adjusted),2007,Residential building,Base 2015=100,645.6078423
Volume of Production Index in Building and Construction (Seasonally Adjusted),2007,Non-residential building,Base 2015=100,159.7533685
Volume of Production Index in Building and Construction (Seasonally Adjusted),2007,Civil engineering,Base 2015=100,170.3490624
Volume of Production Index in Building and Construction (Seasonally Adjusted),2008,All building and construction,Base 2015=100,214.2743615
Volume of Production Index in Building and Construction (Seasonally Adjusted),2008,Building (excluding civil engineering),Base 2015=100,239.4863665
Volume of Production Index in Building and Construction (Seasonally Adjusted),2008,Residential building,Base 2015=100,357.8709653
Volume of Production Index in Building and Construction (Seasonally Adjusted),2008,Non-residential building,Base 2015=100,155.6429057
Volume of Production Index in Building and Construction (Seasonally Adjusted),2008,Civil engineering,Base 2015=100,160.0689546
Volume of Production Index in Building and Construction (Seasonally Adjusted),2009,All building and construction,Base 2015=100,135.3735105
Volume of Production Index in Building and Construction (Seasonally Adjusted),2009,Building (excluding civil engineering),Base 2015=100,133.9442908
Volume of Production Index in Building and Construction (Seasonally Adjusted),2009,Residential building,Base 2015=100,150.1287963
Volume of Production Index in Building and Construction (Seasonally Adjusted),2009,Non-residential building,Base 2015=100,121.3442593
Volume of Production Index in Building and Construction (Seasonally Adjusted),2009,Civil engineering,Base 2015=100,139.5850742
Volume of Production Index in Building and Construction (Seasonally Adjusted),2010,All building and construction,Base 2015=100,94.83306097
Volume of Production Index in Building and Construction (Seasonally Adjusted),2010,Building (excluding civil engineering),Base 2015=100,89.10019356
Volume of Production Index in Building and Construction (Seasonally Adjusted),2010,Residential building,Base 2015=100,93.28484036
Volume of Production Index in Building and Construction (Seasonally Adjusted),2010,Non-residential building,Base 2015=100,85.66758091
Volume of Production Index in Building and Construction (Seasonally Adjusted),2010,Civil engineering,Base 2015=100,108.447392
Volume of Production Index in Building and Construction (Seasonally Adjusted),2011,All building and construction,Base 2015=100,78.66048436
Volume of Production Index in Building and Construction (Seasonally Adjusted),2011,Building (excluding civil engineering),Base 2015=100,77.05986747
Volume of Production Index in Building and Construction (Seasonally Adjusted),2011,Residential building,Base 2015=100,68.01952264
Volume of Production Index in Building and Construction (Seasonally Adjusted),2011,Non-residential building,Base 2015=100,84.27161229
Volume of Production Index in Building and Construction (Seasonally Adjusted),2011,Civil engineering,Base 2015=100,82.48305428
Volume of Production Index in Building and Construction (Seasonally Adjusted),2012,All building and construction,Base 2015=100,76.87234622
Volume of Production Index in Building and Construction (Seasonally Adjusted),2012,Building (excluding civil engineering),Base 2015=100,68.52204602
Volume of Production Index in Building and Construction (Seasonally Adjusted),2012,Residential building,Base 2015=100,59.6875122
Volume of Production Index in Building and Construction (Seasonally Adjusted),2012,Non-residential building,Base 2015=100,75.39850258
Volume of Production Index in Building and Construction (Seasonally Adjusted),2012,Civil engineering,Base 2015=100,96.17974613
Volume of Production Index in Building and Construction (Seasonally Adjusted),2013,All building and construction,Base 2015=100,85.44835592
Volume of Production Index in Building and Construction (Seasonally Adjusted),2013,Building (excluding civil engineering),Base 2015=100,78.56302314
Volume of Production Index in Building and Construction (Seasonally Adjusted),2013,Residential building,Base 2015=100,66.000231
Volume of Production Index in Building and Construction (Seasonally Adjusted),2013,Non-residential building,Base 2015=100,89.47710554
Volume of Production Index in Building and Construction (Seasonally Adjusted),2013,Civil engineering,Base 2015=100,100.9021763
Volume of Production Index in Building and Construction (Seasonally Adjusted),2014,All building and construction,Base 2015=100,92.74472086
Volume of Production Index in Building and Construction (Seasonally Adjusted),2014,Building (excluding civil engineering),Base 2015=100,87.50382763
Volume of Production Index in Building and Construction (Seasonally Adjusted),2014,Residential building,Base 2015=100,77.16724683
Volume of Production Index in Building and Construction (Seasonally Adjusted),2014,Non-residential building,Base 2015=100,95.73943619
Volume of Production Index in Building and Construction (Seasonally Adjusted),2014,Civil engineering,Base 2015=100,104.1924494
Volume of Production Index in Building and Construction (Seasonally Adjusted),2015,All building and construction,Base 2015=100,100.2302671
Volume of Production Index in Building and Construction (Seasonally Adjusted),2015,Building (excluding civil engineering),Base 2015=100,100.0866828
Volume of Production Index in Building and Construction (Seasonally Adjusted),2015,Residential building,Base 2015=100,100.1494184
Volume of Production Index in Building and Construction (Seasonally Adjusted),2015,Non-residential building,Base 2015=100,99.95579562
Volume of Production Index in Building and Construction (Seasonally Adjusted),2015,Civil engineering,Base 2015=100,100.3127501
Volume of Production Index in Building and Construction (Seasonally Adjusted),2016,All building and construction,Base 2015=100,109.6158101
Volume of Production Index in Building and Construction (Seasonally Adjusted),2016,Building (excluding civil engineering),Base 2015=100,111.0709772
Volume of Production Index in Building and Construction (Seasonally Adjusted),2016,Residential building,Base 2015=100,123.6411146
Volume of Production Index in Building and Construction (Seasonally Adjusted),2016,Non-residential building,Base 2015=100,109.3957623
Volume of Production Index in Building and Construction (Seasonally Adjusted),2016,Civil engineering,Base 2015=100,102.9089517
Volume of Production Index in Building and Construction (Seasonally Adjusted),2017,All building and construction,Base 2015=100,124.0531749
Volume of Production Index in Building and Construction (Seasonally Adjusted),2017,Building (excluding civil engineering),Base 2015=100,127.9310525
Volume of Production Index in Building and Construction (Seasonally Adjusted),2017,Residential building,Base 2015=100,143.5552802
Volume of Production Index in Building and Construction (Seasonally Adjusted),2017,Non-residential building,Base 2015=100,125.3519905
Volume of Production Index in Building and Construction (Seasonally Adjusted),2017,Civil engineering,Base 2015=100,106.5951206
Volume of Production Index in Building and Construction (Seasonally Adjusted),2018,All building and construction,Base 2015=100,136.710166
Volume of Production Index in Building and Construction (Seasonally Adjusted),2018,Building (excluding civil engineering),Base 2015=100,140.7708824
Volume of Production Index in Building and Construction (Seasonally Adjusted),2018,Residential building,Base 2015=100,142.2831575
Volume of Production Index in Building and Construction (Seasonally Adjusted),2018,Non-residential building,Base 2015=100,140.6433532
Volume of Production Index in Building and Construction (Seasonally Adjusted),2018,Civil engineering,Base 2015=100,118.3462013
Volume of Production Index in Building and Construction (Seasonally Adjusted),2019,All building and construction,Base 2015=100,144.4127849
Volume of Production Index in Building and Construction (Seasonally Adjusted),2019,Building (excluding civil engineering),Base 2015=100,151.2784865
Volume of Production Index in Building and Construction (Seasonally Adjusted),2019,Residential building,Base 2015=100,160.195749
Volume of Production Index in Building and Construction (Seasonally Adjusted),2019,Non-residential building,Base 2015=100,150.1817715
Volume of Production Index in Building and Construction (Seasonally Adjusted),2019,Civil engineering,Base 2015=100,113.1294518
Volume of Production Index in Building and Construction (Seasonally Adjusted),2020,All building and construction,Base 2015=100,131.8468466
Volume of Production Index in Building and Construction (Seasonally Adjusted),2020,Building (excluding civil engineering),Base 2015=100,139.2992948
Volume of Production Index in Building and Construction (Seasonally Adjusted),2020,Residential building,Base 2015=100,125.8426397
Volume of Production Index in Building and Construction (Seasonally Adjusted),2020,Non-residential building,Base 2015=100,141.400966
Volume of Production Index in Building and Construction (Seasonally Adjusted),2020,Civil engineering,Base 2015=100,96.07595531
Volume of Production Index in Building and Construction (Seasonally Adjusted),2021,All building and construction,Base 2015=100,126.3840118
Volume of Production Index in Building and Construction (Seasonally Adjusted),2021,Building (excluding civil engineering),Base 2015=100,130.5066047
Volume of Production Index in Building and Construction (Seasonally Adjusted),2021,Residential building,Base 2015=100,109.8536697
Volume of Production Index in Building and Construction (Seasonally Adjusted),2021,Non-residential building,Base 2015=100,134.5743279
Volume of Production Index in Building and Construction (Seasonally Adjusted),2021,Civil engineering,Base 2015=100,107.4933725
Volume of Production Index in Building and Construction (Seasonally Adjusted),2022,All building and construction,Base 2015=100,130.3209629
Volume of Production Index in Building and Construction (Seasonally Adjusted),2022,Building (excluding civil engineering),Base 2015=100,135.7331871
Volume of Production Index in Building and Construction (Seasonally Adjusted),2022,Residential building,Base 2015=100,115.7234152
Volume of Production Index in Building and Construction (Seasonally Adjusted),2022,Non-residential building,Base 2015=100,138.4032497
Volume of Production Index in Building and Construction (Seasonally Adjusted),2022,Civil engineering,Base 2015=100,105.5728345
